JUDGEMENT_ID	TASK	TYPE	ITEM_ID	ANNOTATOR_ID	ANNOTATOR_TYPE_COUNT	TIME	SYSTEM_0	SCORE_0_A	SCORE_0_B	SYSTEM_1	SCORE_1_A	SCORE_1_B	SYSTEM_2	SCORE_2_A	SCORE_2_B	SYSTEM_3	SCORE_3_A	SCORE_3_B	SYSTEM_4	SCORE_4_A	SCORE_4_B	EXTRA
0	WMT09 Multisource-English News	RANK	2442	0	0	39	rwth-combo	3		cmu-combo	2		bbn-combo	1							
14364	WMT09 Multisource-English News	RANK	1761	0	1	43	cmu-combo	2		rwth-combo	3		bbn-combo	1							
40	WMT09 Multisource-English News	RANK	933	1	0	45	rwth-combo	2		bbn-combo	1		cmu-combo	3							
43	WMT09 Multisource-English News	RANK	1468	1	1	54	rwth-combo	2		cmu-combo	2		bbn-combo	1							
44	WMT09 Multisource-English News	RANK	56	1	2	17	rwth-combo	2		bbn-combo	2		cmu-combo	1							
46	WMT09 Multisource-English News	RANK	2079	1	3	66	bbn-combo	2		cmu-combo	1		rwth-combo	3							
47	WMT09 Multisource-English News	RANK	1709	1	4	33	bbn-combo	2		rwth-combo	2		cmu-combo	1							
50	WMT09 Multisource-English News	RANK	1567	1	5	30	rwth-combo	2		cmu-combo	3		bbn-combo	1							
52	WMT09 Multisource-English News	RANK	1043	1	6	78	cmu-combo	2		bbn-combo	1		rwth-combo	3							
58	WMT09 Multisource-English News	RANK	1017	1	7	82	cmu-combo	3		bbn-combo	3		rwth-combo	3							
59	WMT09 Multisource-English News	RANK	140	1	8	18	cmu-combo	2		bbn-combo	1		rwth-combo	1							
61	WMT09 Multisource-English News	RANK	1647	1	9	29	bbn-combo	1		rwth-combo	2		cmu-combo	2							
400	WMT09 Multisource-English News	RANK	1135	10	20	47	rwth-combo	2		bbn-combo	1		cmu-combo	2							
401	WMT09 Multisource-English News	RANK	988	10	21	28	cmu-combo	1		rwth-combo	1		bbn-combo	2							
402	WMT09 Multisource-English News	RANK	830	10	22	35	bbn-combo	1		cmu-combo	2		rwth-combo	3							
404	WMT09 Multisource-English News	RANK	304	10	23	33	bbn-combo	2		rwth-combo	1		cmu-combo	3							
405	WMT09 Multisource-English News	RANK	1416	10	24	16	cmu-combo	1		rwth-combo	3		bbn-combo	2							
406	WMT09 Multisource-English News	RANK	593	10	25	21	bbn-combo	2		cmu-combo	3		rwth-combo	1							
408	WMT09 Multisource-English News	RANK	528	10	26	35	cmu-combo	2		rwth-combo	1		bbn-combo	4							
411	WMT09 Multisource-English News	RANK	1946	10	27	52	rwth-combo	1		bbn-combo	2		cmu-combo	1							
412	WMT09 Multisource-English News	RANK	1285	10	28	17	cmu-combo	3		rwth-combo	1		bbn-combo	2							
414	WMT09 Multisource-English News	RANK	476	10	29	25	bbn-combo	2		cmu-combo	2		rwth-combo	1							
415	WMT09 Multisource-English News	RANK	1827	10	30	10	cmu-combo	1		rwth-combo	1		bbn-combo	5							
418	WMT09 Multisource-English News	RANK	1043	10	31	33	rwth-combo	2		cmu-combo	2		bbn-combo	1							
420	WMT09 Multisource-English News	RANK	2415	10	32	74	cmu-combo	1		rwth-combo	3		bbn-combo	5							
421	WMT09 Multisource-English News	RANK	462	10	33	17	bbn-combo	2		cmu-combo	3		rwth-combo	4							
423	WMT09 Multisource-English News	RANK	37	10	34	40	cmu-combo	2		rwth-combo	1		bbn-combo	3							
425	WMT09 Multisource-English News	RANK	2522	10	35	64	bbn-combo	3		rwth-combo	1		cmu-combo	2							
427	WMT09 Multisource-English News	RANK	681	10	36	17	cmu-combo	1		rwth-combo	1		bbn-combo	1							
428	WMT09 Multisource-English News	RANK	338	10	37	40	bbn-combo	1		cmu-combo	2		rwth-combo	2							
430	WMT09 Multisource-English News	RANK	1135	10	38	22	rwth-combo	2		bbn-combo	1		cmu-combo	2							
432	WMT09 Multisource-English News	RANK	304	10	39	17	bbn-combo	3		rwth-combo	1		cmu-combo	2							
